Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2011,Program Support,Direct Administrative Costs,1000,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2011,Health,HIV/AIDS,978,HIV/AIDS - Assistance for HIV/AIDS,Universities and Research Institutes,Universities and Research Institutes - United States,RTI International
2011,Economic Development,Agriculture,957,Agricultural Sector Productivity,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Education and Social Services,Basic Education,900,Education Sector Reform Support Program,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,800,Program Design and Learning (Political Competition),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,800,Administration and Oversight (Political Competition),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Program Support,Direct Administrative Costs,790,Program Support,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,"Democracy, Human Rights, and Governance",Good Governance,750,Administration and Oversight (Governance),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,"Democracy, Human Rights, and Governance",Good Governance,714,Program Support (Governance),Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",691,Earthquake Reconstruction,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Program Support,Direct Administrative Costs,665,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2011,Health,HIV/AIDS,635,Health And Population Welfare,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Health,Maternal and Child Health,582,Global Health Support Initiative II (GHSI II),Enterprises,Enterprises - United States,"Camris International, Inc."
2011,Education and Social Services,Basic Education,571,Basic Education,Universities and Research Institutes,Universities and Research Institutes - United States,RTI International
2011,"Democracy, Human Rights, and Governance",Good Governance,551,Governance,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2011,Program Support,Direct Administrative Costs,500,Program Support,Enterprises,Enterprises - United States,AT&T Inc.
2011,Economic Development,Infrastructure,500,Modern Energy Services,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Health,Maternal and Child Health,500,Maternal and Child Health,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",459,Agriculture Recovery Project,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2011,"Democracy, Human Rights, and Governance",Good Governance,448,Local Government and Decentralization,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Health,Other Public Health Threats,406,Global Health Support Initiative II (GHSI II),Enterprises,Enterprises - United States,"Camris International, Inc."
2011,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,400,Program Design and Learning (Rule of Law),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Health,Other Public Health Threats,319,Health And Population Welfare,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2011,Economic Development,Private Sector Competitiveness,315,Workforce Development,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",260,OFDA/Disaster Response,Multilateral,Multilateral - United Nations,United Nations Development Programme
2011,Economic Development,Infrastructure,250,Administration and Oversight (Infrastructure),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Education and Social Services,Higher Education,250,Higher Education,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Program Support,Direct Administrative Costs,250,OE TRUSFUNDS COR,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2011,Education and Social Services,Basic Education,250,Education Sector Reform Support Program,Multilateral,Multilateral - United Nations,World Food Program
2011,Education and Social Services,Basic Education,250,Education Sector Reform Support Program,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",218,Primary Healthcare for Afghan Refugees - Pakistan,NGO,NGO - International,NGO - International Other
2011,"Democracy, Human Rights, and Governance",Good Governance,200,Program Design and Learning (Governance),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,"Democracy, Human Rights, and Governance",Good Governance,182,Legislative Function and Processes,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",168,Strengthening Local Staff and Community Capacity to Respond to and Prevent Gender Based Violence among Afghan Refugees in Pakistan,NGO,NGO - United States,NGO - United States Redacted
2011,Program Support,Direct Administrative Costs,89,Administrative costs,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Program Support,Direct Administrative Costs,77,Program Support,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Program Support,Direct Administrative Costs,59,OE TRUSFUNDS COR,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",54,Community based preventive and Curative basic health services,NGO,NGO - United States,NGO - United States Redacted
2011,"Democracy, Human Rights, and Governance",Good Governance,50,Governance,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Program Support,Direct Administrative Costs,44,Administration and Oversight,Enterprises,Enterprises - United States,GovConnection Incorporated
2011,Health,Other Public Health Threats,35,Health And Population Welfare,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,"Democracy, Human Rights, and Governance",Good Governance,23,Program Support (Governance),Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Economic Development,Private Sector Competitiveness,2,Economic Growth,Enterprises,Enterprises - United States,Enterprise - United States Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",1,"Revitalizing, Innovating, Strengthening Education",NGO,NGO - United States,American Institutes for Research
2011,Program Support,Direct Administrative Costs,-35,OE TRUSFUNDS COR,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2011,Program Support,Direct Administrative Costs,-150,OE TRUSFUNDS COR,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Program Support,Direct Administrative Costs,-321,Administration and Oversight,Enterprises,Enterprises - Non United States,Unspecified Vendors - Country Other
2011,"Democracy, Human Rights, and Governance",Good Governance,-500,Program Support (Governance),Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-556,Transition Support Programming,NGO,NGO - International,NGO - International Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-566,Primary Health Care Program for Afghan Refugees,NGO,NGO - International,NGO - International Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-943,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,Enterprise - United States Other
2011,Program Support,Direct Administrative Costs,-1214,Administrative Expenses,NGO,NGO - International,NGO - International Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-1340,Refugee Education Program - Pakistan,NGO,NGO - International,NGO - International Other
2011,Education and Social Services,Higher Education,-2282,Higher Education,NGO,NGO - United States,Academy for Educational Development
2011,Education and Social Services,Basic Education,-6404,Basic Education,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-6469,Gender Based Violence Prevention - Pakistan,NGO,NGO - United States,NGO - United States Redacted
2011,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-7121,Administration and Oversight (Rule of Law),Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2011,"Democracy, Human Rights, and Governance",Good Governance,-7155,Legislative Function and Processes,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-8176,Primary Healthcare & Repat Support in Pakistan,NGO,NGO - United States,NGO - United States Redacted
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-12224,Earthquake Reconstruction,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-13006,Protection and Solutions,NGO,NGO - United States,International Medical Corps
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-13596,Healthcare and Repatriation Support for Afghan Refugees,NGO,NGO - United States,NGO - United States Redacted
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-20270,Primary Healthcare and Repatriation Support for Afghan Refugees in Northwest Frontier  Province Pakistan,NGO,NGO - United States,NGO - United States Redacted
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-26631,Transition Support Programming for Afghan Refugees - Pakistan,NGO,NGO - International,NGO - International Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-47978,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-54894,Program Support (Protection),Government,Government - United States,U.S. Government - U.S. Agency for International Development
2011,Economic Development,Economic Opportunity,-55788,Strengthen Microenterprise Productivity,Enterprises,Enterprises - United States,Enterprise - United States Other
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-62346,Program Support (Protection),Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2011,Education and Social Services,Basic Education,-66620,Basic Education,Multilateral,Multilateral - United Nations,World Food Program
2011,Economic Development,Agriculture,-67088,Agricultural Sector Productivity,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2011,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-79328,Elections and Political Processes,Multilateral,Multilateral - United Nations,United Nations Development Programme
2011,Humanitarian Assistance,"Protection, Assistance and Solutions",-88021,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2011,Education and Social Services,Higher Education,-90655,Forman Christian College,Universities and Research Institutes,Universities and Research Institutes - Non United States,Forman Christian College
2011,Economic Development,Infrastructure,-360221,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2011,Economic Development,Infrastructure,-917231,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2011,Economic Development,Private Sector Competitiveness,-1000000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2011,Education and Social Services,Basic Education,-2290186,Pre-Service Teacher Education Program (Pre-STEP),NGO,NGO - United States,Academy for Educational Development
2010,Peace and Security,Stabilization Operations and Security Sector Reform,507727974,Pakistan Counterinsurgency Fund,Government,Government - United States,U.S. Government - Department of Defense
2010,Peace and Security,Stabilization Operations and Security Sector Reform,248000000,"DOD - Foreign Military Financing (FMF) Program, Payment Waived",Government,Government - United States,U.S. Government - Department of Defense
2010,Education and Social Services,Social Assistance,204000000,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2010,Education and Social Services,Higher Education,90000000,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",65000000,Emergency Supplemental Funding to Pakistan,Government,Government - Non United States,Government of Pakistan
2010,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,39824945,International Narcotics Control and Law Enforcement: Country Program,Government,Government - United States,U.S. Government - Department of State
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",36820000,Response to UNHCR's 2010 Global Appeal for IDP Projects in Pakistan,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",30744900,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",27050000,Response to UNHCR's 2010 Global Appeal for IDP Projects in Pakistan,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2010,Peace and Security,Counter-Narcotics,26649000,In-Country Counternarcotics Program,Government,Government - United States,U.S. Government - Department of Defense
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",26479932,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,United Nations Organisation
2010,Health,Maternal and Child Health,25689644,Pakistan Initiative for Mothers and Newborns (PAIMAN) Project,NGO,NGO - United States,John Snow International
2010,Humanitarian Assistance,Disaster Readiness,20978029,me - Emergency Operations in Pakistan,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Agriculture,20000000,Programs to Support Pakistan Agricultural Investment Strategy,Government,Government - United States,U.S. Government - Department of Agriculture
2010,Education and Social Services,Basic Education,18880479,Links to Learning (Ed Links),NGO,NGO - United States,American Institutes for Research
2010,"Democracy, Human Rights, and Governance",Good Governance,18639983,Local Government and Decentralization,Enterprises,Enterprises - United States,Creative Associates International
2010,Peace and Security,Combating Weapons of Mass Destruction (WMD),15049836,"U.S. Department of State: Nonproliferation Assistance Programs - Global Threat Reduction (GTR), Unspecified Technical Assistance to Global Threat Reduction",Government,Government - United States,U.S. Government - Department of State
2010,"Democracy, Human Rights, and Governance",Good Governance,14697566,PERSI II - IOM (Pakistan Transition Initiative),Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",14097874,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,CDM Corporation
2010,Peace and Security,Stabilization Operations and Security Sector Reform,13466420,"DoD Excess Defense Articles, Grant Authority",Government,Government - United States,U.S. Government - Department of the Army
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",11472896,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2010,Economic Development,Private Sector Competitiveness,11350680,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2010,Economic Development,Private Sector Competitiveness,10820051,Pakistan Firms,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",9584048,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2010,Program Support,Direct Administrative Costs,9373177,Administrative costs,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2010,Education and Social Services,Basic Education,8885596,Pre-Service Teacher Education Program (Pre-STEP),NGO,NGO - United States,Academy for Educational Development
2010,Health,Family Planning and Reproductive Health,8771393,Family Advancement for Life and Health (FALAH),NGO,NGO - United States,Population Council
2010,"Democracy, Human Rights, and Governance",Good Governance,8385625,Local Government and Decentralization,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2010,Economic Development,Economic Opportunity,8250000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2010,Economic Development,Infrastructure,8250000,Transport Services,Government,Government - Non United States,Government of Pakistan
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",8202200,Section 202e Cost of USAID Title II Food Aid for Section 202e: Section of USAID's P.L. 480 authorizing funds to support Title II activities,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Agriculture,8000000,Pakistan Wheat Production Enhancement Program,Government,Government - United States,U.S. Government - Department of Agriculture
2010,Education and Social Services,Basic Education,7652800,Basic Education,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Agriculture,7575075,Freight Cost of Food Aid under Food For Progress Title I Program,Government,Government - Non United States,Government of Pakistan
2010,Economic Development,Private Sector Competitiveness,7232677,Empowering Pakistan: Jobs,NGO,NGO - United States,CARE International
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",6847200,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Economic Opportunity,6700988,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",6631200,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",6519000,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Health,Nutrition,6383853,Freight Cost of Food Aid under Food For Education Program,Multilateral,Multilateral - United Nations,World Food Program
2010,Education and Social Services,Basic Education,6366705,Community Rehabilitation Infrastructure Support Program (CRISP) in Pakistan.,NGO,NGO - United States,Winrock International
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",6005576,Crisis Assistance and Recovery,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2010,Health,Family Planning and Reproductive Health,5901301,Family Advancement for Life and Health (FALAH),NGO,NGO - United States,Population Council
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",5757400,ITSH Freight Cost of USAID Title II Food Aid for Direct Support Cost,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",5441747,Crisis Assistance and Recovery,Enterprises,Enterprises - Non United States,Khushhali Bank Limited
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",5088000,Commodity Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Private Sector Competitiveness,5045326,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",5006595,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2010,Peace and Security,Stabilization Operations and Security Sector Reform,5000000,DOD - International Military Education & Training (IMET) Program/Deliveries,Government,Government - United States,U.S. Government - Department of Defense
2010,Education and Social Services,Higher Education,5000000,Higher Education,Government,Government - Non United States,Government of Pakistan - Higher Education Commission
2010,Education and Social Services,Basic Education,4965000,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",4715400,ITSH Freight Cost of USAID Title II Food Aid for Other Direct Costs,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",4490441,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",4348596,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2010,"Democracy, Human Rights, and Governance",Good Governance,4289522,Local Government and Decentralization,NGO,NGO - United States,Urban Institute
2010,Economic Development,Agriculture,4200001,Empower Pakistan (Trade),Enterprises,Enterprises - Non United States,Deloitte
2010,Economic Development,Infrastructure,4151462,Energy Efficiency and Capacity (EP-EEC) project,Enterprises,Enterprises - United States,International Resources Group Ltd.
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",4061146,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,CDM Corporation
2010,Economic Development,Infrastructure,4000000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2010,Education and Social Services,Basic Education,3973512,Basic Education,Enterprises,Enterprises - United States,CDM Corporation
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",3822500,Commodity Cost of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",3807000,Commodity Cost of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Agriculture,3750000,Pakistan Cotton Productivity Enhancement Program,Government,Government - United States,U.S. Government - Department of Agriculture
2010,"Democracy, Human Rights, and Governance",Civil Society,3664071,Media Freedom and Freedom of Information,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2010,Economic Development,Private Sector Competitiveness,3583130,Pakistan Firms,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2010,Program Support,Direct Administrative Costs,3485507,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2010,"Democracy, Human Rights, and Governance",Good Governance,3390233,Legislative Function and Processes,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2010,"Democracy, Human Rights, and Governance",Civil Society,3350841,National Endowment for Democracy Grant,NGO,NGO - United States,National Endowment for Democracy
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",3322760,Crisis Assistance and Recovery,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted
2010,Economic Development,Private Sector Competitiveness,3311603,Entrepreneur Project,NGO,NGO - United States,Mennonite Economic Development Associates
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",3241324,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2985258,Crisis Assistance and Recovery,NGO,NGO - Non United States,NGO - Non United States Redacted
2010,Economic Development,Agriculture,2850000,Balochistan Agriculture Project,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2010,Health,Maternal and Child Health,2822374,Pakistan Initiative for Mothers and Newborns (PAIMAN) Project,NGO,NGO - United States,John Snow International
2010,Health,Maternal and Child Health,2798022,Improve Child Health in Federal Administered Tribal Areas (FATA),NGO,NGO - International,"Save the Children Federation, Inc."
2010,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2780283,Elections and Political Processes,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening
2010,Health,Family Planning and Reproductive Health,2747005,Family Advancement for Life and Health (FALAH),NGO,NGO - United States,Population Council
2010,Education and Social Services,Basic Education,2661983,"Revitalizing, Innovating, Strengthening Education",NGO,NGO - United States,American Institutes for Research
2010,Health,Other Public Health Threats,2591204,Health And Population Welfare,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2010,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2561765,International Narcotics Control and Law Enforcement: Anti-Crime Programs,Government,Government - United States,U.S. Government - Department of State
2010,Program Support,Direct Administrative Costs,2538871,Administrative costs,Enterprises,Enterprises - United States,Scaletta Maloney Armoring Corp.
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2487627,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2465000,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Private Sector Competitiveness,2429500,Pakistan Firms,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2010,Health,Maternal and Child Health,2305841,Pakistan Health Systems Strengthening Project,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2295626,"Revitalizing, Innovating, Strengthening Education",NGO,NGO - United States,American Institutes for Research
2010,Health,Maternal and Child Health,2237867,Improve Child Health in Federal Administered Tribal Areas (FATA),NGO,NGO - International,"Save the Children Federation, Inc."
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2237803,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2010,Economic Development,Infrastructure,2219810,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2218522,Administration and Oversight (Protection),NGO,NGO - United States,Citizens Network for Foreign Affairs
2010,Economic Development,Economic Opportunity,2195122,Strengthen Microenterprise Productivity,Enterprises,Enterprises - Non United States,Khushhali Bank Limited
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2176113,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2010,Program Support,Direct Administrative Costs,2040000,Administrative costs,Government,Government - United States,U.S. Government - Department of State
2010,"Democracy, Human Rights, and Governance",Good Governance,2001989,Local Government and Decentralization,NGO,NGO - United States,Urban Institute
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",2000000,Emergency Refugee Assistance: UNHCR portion of UN Flash Appeal Pakistan Humanitarian Response Plan Floods and Internal Displacement 2008,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2010,Economic Development,Infrastructure,1945693,Empower Pakistan: Energy Policy,Enterprises,Enterprises - United States,"Advanced Engineering Associates International, Inc."
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1941875,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2010,Peace and Security,Counter-Terrorism,1890000,Counterterrorism Financing,Government,Government - United States,U.S. Government - Department of State
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1810553,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2010,Education and Social Services,Higher Education,1800000,Forman Christian College,Universities and Research Institutes,Universities and Research Institutes - Non United States,Forman Christian College
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1768486,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2010,Program Support,Direct Administrative Costs,1747554,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2010,Economic Development,Trade and Investment,1671994,Empower Pakistan (Trade),Enterprises,Enterprises - Non United States,Deloitte
2010,Health,Other Public Health Threats,1647750,Improve Child Health in Federal Administered Tribal Areas (FATA),NGO,NGO - International,"Save the Children Federation, Inc."
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1647627,Earthquake Reconstruction,Enterprises,Enterprises - United States,CDM Corporation
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1632256,"Revitalizing, Innovating, Strengthening Education",NGO,NGO - United States,American Institutes for Research
2010,Peace and Security,Counter-Terrorism,1562774,Anti-Terrorism Assistance,Government,Government - United States,U.S. Government - Department of State
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1531600,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1513471,Crisis Assistance and Recovery,NGO,NGO - United States,Citizens Network for Foreign Affairs
2010,Economic Development,Agriculture,1500000,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2010,Economic Development,Private Sector Competitiveness,1485977,Private Sector Productivity,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1474500,Ocean Freight of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Private Sector Competitiveness,1444208,Pakistan,Government,Government - United States,U.S. Government - Department of Commerce
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1443446,Crisis Assistance and Recovery,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2010,Program Support,Direct Administrative Costs,1424188,Administrative costs,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1378419,Inter-Agency Agreement with the U.S. Air Force,Government,Government - United States,U.S. Government - Department of the Air Force
2010,Health,Water Supply and Sanitation,1368503,Water Supply and Sanitation,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1357842,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1324360,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1290500,Commodity Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Program Support,Direct Administrative Costs,1290006,Administration and Oversight,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2010,Health,Other Public Health Threats,1289939,Pakistan Health Systems Strengthening Project,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2010,Health,Pandemic Influenza and Other Emerging Threats (PIOET),1288500,Polio Eradication through the World Health Organization.,Multilateral,Multilateral - United Nations,World Health Organisation
2010,Education and Social Services,Basic Education,1280977,Basic Education,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1224000,Ocean Freight of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
